date,bank_name,close_price
9/28/2022,BAC,31.07
9/28/2022,WFC,40.810001
9/29/2022,Citi,42.389999
9/29/2022,JPM,106.16
9/29/2022,BAC,30.66
9/29/2022,WFC,40.5
9/30/2022,Citi,41.669998
9/30/2022,JPM,104.5
9/30/2022,BAC,30.200001
9/30/2022,WFC,40.220001
10/3/2022,Citi,42.560001
10/3/2022,JPM,107.73
10/3/2022,BAC,31.09
10/3/2022,WFC,41.580002
10/4/2022,Citi,44.41
10/4/2022,JPM,112.77
10/4/2022,BAC,32.380001
10/4/2022,WFC,43.540001
10/5/2022,Citi,43.84
10/5/2022,JPM,110.39
10/5/2022,BAC,31.92
10/5/2022,WFC,43.310001
10/6/2022,Citi,43.060001
10/6/2022,JPM,108.14
10/6/2022,BAC,31.459999
10/6/2022,WFC,42.240002
10/7/2022,Citi,42.189999
10/7/2022,JPM,105.98
10/7/2022,BAC,30.75
10/7/2022,WFC,41.790001
10/10/2022,Citi,41.599998
10/10/2022,JPM,104.99
10/10/2022,BAC,30.66
10/10/2022,WFC,41.450001
10/11/2022,Citi,40.450001
10/11/2022,JPM,101.96
10/11/2022,BAC,29.77
10/11/2022,WFC,40.23
10/12/2022,Citi,40.84
10/12/2022,JPM,103.61
10/12/2022,BAC,29.860001
10/12/2022,WFC,40.509998
10/13/2022,Citi,42.950001
10/13/2022,JPM,109.37
10/13/2022,BAC,31.690001
10/13/2022,WFC,42.380001
10/14/2022,Citi,43.23
10/14/2022,JPM,111.19
10/14/2022,BAC,31.700001
10/14/2022,WFC,43.169998
10/17/2022,Citi,43.59
10/17/2022,JPM,115.86
10/17/2022,BAC,33.619999
10/17/2022,WFC,43.959999
10/18/2022,Citi,44.150002
10/18/2022,JPM,118.84
10/18/2022,BAC,34.880001
10/18/2022,WFC,44.669998
10/19/2022,Citi,43.34
10/19/2022,JPM,116.51
10/19/2022,BAC,33.919998
10/19/2022,WFC,43.619999
10/20/2022,Citi,42.919998
10/20/2022,JPM,116.13
10/20/2022,BAC,33.700001
10/20/2022,WFC,43.650002
10/21/2022,Citi,44.259998
10/21/2022,JPM,122.23
10/21/2022,BAC,34.950001
10/21/2022,WFC,44.830002
